
    Tick   Ticks   Modus   CPU/Tick   CPU/Max   CPU/Raum   CPU/Creep    Bucket-Ø   Bucket-Min   Räume   Creeps
82095847     100    full       8.84     15.33       0.98        0.20        3927         3442    9.00    44.75
82095947     100    full       8.45     21.18       0.94        0.19        4992         4463    9.00    43.88
82096047     100    full       8.76     16.24       0.97        0.19        6042         5526    9.00    45.33
82096147     100    full       9.35     18.29       1.04        0.20        7049         6561    9.00    46.82
82096247     100    full       8.64     14.14       0.96        0.19        8057         7539    9.00    45.95
82096347     100    full       9.28     17.18       1.03        0.19        9090         8590    9.00    47.60
82096447     100    full       9.27     17.55       1.03        0.19        5130           10    9.00    49.30
82096547     100    full       9.29     15.67       1.03        0.20        1004          532    9.00    46.00
82096647     100    full       8.99     16.75       1.00        0.20        2017         1508    9.00    44.26
82096747     100    full       9.21     14.34       1.02        0.20        3003         2521    9.00    45.14
82096847     100    full       8.96     14.97       1.00        0.20        4012         3510    9.00    44.71
82096947     100    full       9.16     16.39       1.02        0.20        5017         4525    9.00    44.93
82097047     100    full       9.16     14.90       1.02        0.21        6005         5517    9.00    44.44
82097147     100    full       8.42     15.96       0.94        0.19        7036         6511    9.00    43.85
82097247     100    full       8.56     15.05       0.95        0.20        8100         7575    9.00    43.25
82097347     100    full       8.62     13.51       0.96        0.20        9153         8627    9.00    43.66
82097447     100    full       8.17     14.84       0.91        0.19        3414           11    9.00    43.89
82097547     100    full       8.62     14.56       0.96        0.20        1288          769    9.00    43.78
82097647     100    full       9.32     15.60       1.04        0.21        2310         1821    9.00    45.28
82097747     100    full       9.01     15.63       1.00        0.19        3299         2803    9.00    46.38
82097847     100    full       8.55     15.40       0.95        0.19        4336         3812    9.00    45.20
82097947     100    full       9.13     16.53       1.01        0.20        5361         4871    9.00    44.56
82098047     100    full       9.18     17.19       1.02        0.21        6364         5868    9.00    44.56
82098147     100    full       8.89     14.97       0.99        0.20        7362         6859    9.00    44.11
82098247     100    full       9.09     15.38       1.01        0.21        8356         7875    9.00    43.92
82098347     100    full       9.56     17.51       1.06        0.20        9359         8874    9.00    47.26

