== Abschnitte ==
Name              CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
debitor_82121885          0.10        0.19          0.51      0.94      0.9%
miner_82122085            0.10        0.10          1.00      0.46      0.9%
defender_82122240         0.09        0.09          1.00      0.35      0.8%
miner_82123540            0.09        0.32          0.28      1.20      0.8%
upgrader_82123395         0.09        0.24          0.38      0.49      0.8%
miner_82122665            0.09        0.09          1.00      0.49      0.8%
linkkeeper_82122035       0.08        0.08          1.00      0.32      0.8%
debitor_82122745          0.08        0.08          1.00      1.25      0.8%
miner_82122460            0.08        0.08          1.00      0.66      0.7%
linkkeeper_82123295       0.06        0.06          1.00      0.46      0.6%
collector_82123030        0.05        0.05          1.00      0.11      0.4%
collector_82123040        0.04        0.04          1.00      0.29      0.4%
debitor_82122810          0.04        0.04          1.00      0.31      0.3%
miner_82122150            0.04        0.04          1.00      0.46      0.3%
linkkeeper_82123220       0.04        0.04          1.00      0.24      0.3%
miner_82122880            0.03        0.03          1.00      0.47      0.3%
debitor_82122870          0.03        0.03          1.00      0.29      0.2%
defender_82122235         0.02        0.02          1.00      0.06      0.2%

